ADDRESS,ZIPCODE,PRICE,PredictedPrice_CV,PredictedPrice_FT,Residual_CV,Residual_FT
332 Apopka Hills Cir,32703,283000,293553.0,286755.0,-10553.0,-3755.0
3384 Harry St,32712,300000,272472.68,291996.45,27527.0,8004.0
3397 Orange Rose Loop,32712,540990,535597.72,538999.16,5392.0,1991.0
3415 Orange Rose Loop,32712,620380,627579.55,628732.95,-7200.0,-8353.0
3418 Douglas Fir Dr,32703,599625,558864.24,581183.0,40761.0,18442.0
3421 Fudge Rd,32712,171000,300338.58,220599.95,-129339.0,-49600.0
3443 Players Point Loop,32712,625000,622775.95,619893.6,2224.0,5106.0
3446 Orange Rose Loop,32712,449190,487810.64,460170.28,-38621.0,-10980.0
3480 Plymouth Sorrento Rd,32712,250000,341426.58,278975.6,-91427.0,-28976.0
3518 Kilmarnock Dr,32712,650000,590982.25,635038.65,59018.0,14961.0
3518 Shirley Dr,32703,367500,364134.56,360535.89,3365.0,6964.0
3555 Chinkapin Oak Ln,32703,463990,465225.69,455320.8,-1236.0,8669.0
3561 Chinkapin Oak Ln,32703,446990,440491.44,443814.78,6499.0,3175.0
359 Prevo Dr,32712,265000,316122.62,281673.5,-51123.0,-16674.0
3630 Supreme Ct,32703,720000,640045.39,679631.95,79955.0,40368.0
3652 Chandler Estates Dr,32712,800000,637477.19,741317.45,162523.0,58683.0
3664 Apopka Ridge Cir,32703,465000,452028.95,456283.3,12971.0,8717.0
3669 Rory Oak Cir,32703,433990,439419.67,435036.71,-5430.0,-1047.0
3674 Rory Oak Cir,32703,450000,458447.72,448705.59,-8448.0,1294.0
3736 Kings Canyon Dr,32712,585880,543268.35,572774.88,42612.0,13105.0
3772 Cochran St,32703,130000,267184.87,182837.45,-137185.0,-52837.0
3773 Isle Royal Pl,32712,437635,426234.92,429678.96,11400.0,7956.0
3788 Brantley Place Cir,32703,520000,447293.98,495721.76,72706.0,24278.0
3791 Brantley Place Cir,32703,800000,692679.55,788230.84,107320.0,11769.0
3811 Lorne Ct,32712,609900,621094.9,619420.8,-11195.0,-9521.0
3814 Aiden Pl,32703,470000,452531.02,458958.14,17469.0,11042.0
3823 Walker Rd,32703,290000,304481.65,295915.0,-14482.0,-5915.0
3856 Brantley Place Cir,32703,750000,703927.81,775110.38,46072.0,-25110.0
388 Winnway St,32712,345000,393362.92,362628.28,-48363.0,-17628.0
390 Lisa Karen Cir,32712,420000,388671.98,405344.44,31328.0,14656.0
3922 Old Dunn Rd,32712,435000,555894.28,477585.76,-120894.0,-42586.0
3975 Great Smokey Way,32712,470000,480863.95,473188.4,-10864.0,-3188.0
4023 W Ponkan Rd,32712,465000,398934.56,438798.02,66065.0,26202.0
406 Jillson St,32703,260000,448217.45,305321.16,-188217.0,-45321.0
4113 Golden Willow Cir,32712,709000,612258.08,675641.75,96742.0,33358.0
4113 Jespersen St,32712,465000,486788.26,483235.7,-21788.0,-18236.0
4117 Jespersen St,32712,451990,423042.76,441236.16,28947.0,10754.0
4120 Jespersen St,32712,405450,433437.48,414689.58,-27987.0,-9240.0
4154 Jespersen St,32712,399990,422296.94,407065.27,-22307.0,-7075.0
4196 Winding Pines Dr,32712,667830,562757.45,631912.37,105073.0,35918.0
438 W Kelly Park Rd,32712,310000,435011.76,352296.24,-125012.0,-42296.0
442 Tanglewilde St,32712,343000,301691.29,328679.0,41309.0,14321.0
445 Songbird Way,32712,501003,451546.7,474757.58,49456.0,26245.0
4635 Laurel Site Loop,32712,536990,536638.81,539604.56,351.0,-2615.0
464 Whispering Oak Ln,32712,510000,487033.34,505539.32,22967.0,4461.0
4702 Kati Lynn Dr,32712,330000,325250.03,329942.0,4750.0,58.0
4800 Pierce Arrow Dr,32712,397500,384720.91,391184.85,12779.0,6315.0
484 Lanarkshire Pl,32712,620000,584481.65,616477.5,35518.0,3522.0
485 Halter Dr,32712,575450,459124.24,514728.46,116326.0,60722.0
493 Hebrides Ct,32712,750000,607576.6,696953.1,142423.0,53047.0
505 Harvard Pl,32703,315000,325568.98,320109.8,-10569.0,-5110.0
5121 Blanket Flower St,32712,417000,407455.62,412630.62,9544.0,4369.0
5203 Pineview Way,32703,1200000,1010497.44,1131919.12,189503.0,68081.0
5221 Blanket Flower St,32712,660000,577415.72,625399.24,82584.0,34601.0
5301 Pineview Way,32703,463500,329822.45,419692.5,133678.0,43808.0
5306 Marshelder St,32712,650000,602275.96,634792.62,47724.0,15207.0
5317 Montford Pl,32712,360000,299969.5,337807.5,60030.0,22192.0
54 W 10th St,32703,80000,202750.5,122511.0,-122750.0,-42511.0
5466 Hayloft Dr,32712,443990,441224.95,443207.66,2765.0,782.0
548 Hebrides Ct,32712,554900,535600.02,539066.35,19300.0,15834.0
5482 Hayloft Dr,32712,478990,483534.74,480626.61,-4545.0,-1637.0
5490 Hayloft Dr,32712,491500,533935.39,501901.55,-42435.0,-10402.0
550 Summit River Dr,32712,500000,528031.76,502078.73,-28032.0,-2079.0
550 Sundown Ct,32712,280000,312670.52,289364.6,-32671.0,-9365.0
5505 Hayloft Dr,32712,443320,439486.54,440436.11,3833.0,2884.0
5506 Hayloft Dr,32712,448990,442406.28,444524.35,6584.0,4466.0
5513 Hayloft Dr,32712,436440,439685.12,437951.76,-3245.0,-1512.0
5523 Hayloft Dr,32712,442990,434353.55,439953.01,8636.0,3037.0
5530 Galloping Dr,32712,415000,420851.66,419166.33,-5852.0,-4166.0
5536 Hayloft Dr,32712,396990,411069.31,401231.98,-14079.0,-4242.0
5554 Hayloft Dr,32712,404990,407059.1,405269.25,-2069.0,-279.0
